filename,label
img_13652.jpg,sepia
img_6767.jpg,noSepia
img_7563.jpg,noSepia
img_915.jpg,noSepia
img_2052.jpg,sepia
img_9664.jpg,sepia
img_8398.jpg,sepia
img_3741.jpg,noSepia
img_13537.jpg,noSepia
img_6959.jpg,noSepia
img_3656.jpg,sepia
img_10330.jpg,sepia
img_7047.jpg,noSepia
img_8816.jpg,sepia
img_13778.jpg,sepia
img_8639.jpg,noSepia
img_4881.jpg,noSepia
img_12445.jpg,noSepia
img_3598.jpg,sepia
img_8467.jpg,noSepia
img_3931.jpg,noSepia
img_3611.jpg,noSepia
img_13218.jpg,sepia
img_1123.jpg,noSepia
img_6374.jpg,sepia
img_6948.jpg,sepia
img_5592.jpg,sepia
img_3210.jpg,sepia
img_5969.jpg,noSepia
img_10403.jpg,noSepia
img_1218.jpg,sepia
img_4990.jpg,sepia
img_3789.jpg,noSepia
img_4814.jpg,sepia
img_11431.jpg,noSepia
img_7050.jpg,sepia
img_820.jpg,sepia
img_10152.jpg,sepia
img_2387.jpg,noSepia
img_6906.jpg,sepia
img_8163.jpg,noSepia
img_7558.jpg,sepia
img_204.jpg,sepia
img_7091.jpg,noSepia
img_3486.jpg,sepia
img_5039.jpg,noSepia
img_3804.jpg,sepia
img_1393.jpg,noSepia
img_2968.jpg,sepia
img_8712.jpg,sepia
img_10122.jpg,sepia
img_4904.jpg,sepia
img_1846.jpg,sepia
img_6599.jpg,noSepia
img_7270.jpg,sepia
img_1900.jpg,sepia
img_2522.jpg,sepia
img_13619.jpg,noSepia
img_4049.jpg,noSepia
img_1023.jpg,noSepia
img_2595.jpg,noSepia
img_101.jpg,noSepia
img_11310.jpg,sepia
img_6995.jpg,noSepia
img_5159.jpg,noSepia
img_8051.jpg,noSepia
img_7831.jpg,noSepia
img_5010.jpg,sepia
img_11921.jpg,noSepia
img_3565.jpg,noSepia
img_3268.jpg,sepia
img_11306.jpg,sepia
img_4040.jpg,sepia
img_13637.jpg,noSepia
img_13584.jpg,sepia
img_3671.jpg,noSepia
img_4314.jpg,sepia
img_6037.jpg,noSepia
img_1012.jpg,sepia
img_10550.jpg,sepia
img_844.jpg,sepia
img_6215.jpg,noSepia
img_12688.jpg,sepia
img_7452.jpg,sepia
img_1260.jpg,sepia
img_13744.jpg,sepia
img_2674.jpg,sepia
img_1469.jpg,noSepia
img_8805.jpg,noSepia
img_10908.jpg,sepia
img_7385.jpg,noSepia
img_1254.jpg,sepia
img_6593.jpg,noSepia
img_7399.jpg,noSepia
img_159.jpg,noSepia
img_5445.jpg,noSepia
img_12021.jpg,noSepia
img_12751.jpg,noSepia
img_937.jpg,noSepia
img_13105.jpg,noSepia
img_5101.jpg,noSepia
img_4045.jpg,noSepia
img_3890.jpg,sepia
img_7937.jpg,noSepia
img_11277.jpg,noSepia
img_1788.jpg,sepia
img_8207.jpg,noSepia
img_2506.jpg,sepia
img_13478.jpg,sepia
img_6702.jpg,sepia
img_4954.jpg,sepia
img_9989.jpg,noSepia
img_3475.jpg,noSepia
